         50343999 function calls (50336476 primitive calls) in 552.551 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       54    0.000    0.000    0.002    0.000 __init__.py:961(_open_file_or_url)
        9    0.000    0.000    0.000    0.000 __init__.py:962(<listcomp>)
        1    0.000    0.000    0.003    0.003 __init__.py:97(<module>)
       27    0.003    0.000    0.017    0.001 __init__.py:978(_rc_params_in_file)
        3    0.000    0.000    0.000    0.000 __init__.py:99(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:991(StreamHandler)
        1    0.000    0.000    0.023    0.023 _axes.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _axes.py:119(Axes)
        1    0.000    0.000    0.007    0.007 _axes.py:2066(bar)
        1    0.000    0.000    0.005    0.005 _base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:1138(_set_title_offset_trans)
        1    0.000    0.000    0.000    0.000 _base.py:131(_process_plot_var_args)
        2    0.000    0.000    0.000    0.000 _base.py:143(__init__)
        2    0.000    0.000    0.000    0.000 _base.py:156(set_prop_cycle)
        5    0.000    0.000    0.003    0.001 _base.py:1957(add_patch)
        5    0.000    0.000    0.002    0.000 _base.py:1975(_update_patch_limits)
        1    0.000    0.000    0.000    0.000 _base.py:2021(add_container)
        1    0.000    0.000    0.001    0.001 _base.py:2035(_on_units_changed)
        1    0.000    0.000    0.000    0.000 _base.py:2044(relim)
        5    0.000    0.000    0.000    0.000 _base.py:2071(update_datalim)
      7/6    0.000    0.000    0.002    0.000 _base.py:2107(_process_unit_info)
    14/12    0.000    0.000    0.002    0.000 _base.py:2110(_process_single_axis)
        2    0.000    0.000    0.000    0.000 _base.py:2195(use_sticky_edges)
        2    0.000    0.000    0.002    0.001 _base.py:2401(autoscale_view)
        2    0.000    0.000    0.000    0.000 _base.py:2426(<listcomp>)
        2    0.000    0.000    0.000    0.000 _base.py:2427(<listcomp>)
        2    0.000    0.000    0.000    0.000 _base.py:2428(<listcomp>)
        4    0.000    0.000    0.002    0.000 _base.py:2436(handle_single_axis)
        3    0.000    0.000    0.000    0.000 _base.py:2443(<listcomp>)
        3    0.000    0.000    0.000    0.000 _base.py:2445(<listcomp>)
        2    0.000    0.000    0.000    0.000 _base.py:2449(<listcomp>)
        2    0.000    0.000    0.000    0.000 _base.py:2452(<listcomp>)
        1    0.000    0.000    0.000    0.000 _base.py:2507(_get_axis_list)
        1    0.000    0.000    0.000    0.000 _base.py:2690(set_axisbelow)
        2    0.000    0.000    0.009    0.004 _base.py:2725(grid)
        2    0.000    0.000    0.001    0.000 _base.py:2899(tick_params)
        1    0.000    0.000    0.000    0.000 _base.py:3007(set_axis_on)
        2    0.000    0.000    0.000    0.000 _base.py:3030(xaxis_inverted)
        2    0.000    0.000    0.000    0.000 _base.py:3045(get_xbound)
        2    0.000    0.000    0.000    0.000 _base.py:3061(set_xbound)
        7    0.000    0.000    0.000    0.000 _base.py:3101(get_xlim)
       12    0.000    0.000    0.000    0.000 _base.py:3124(_validate_converted_limits)
        3    0.000    0.000    0.001    0.000 _base.py:3142(set_xlim)
        5    0.000    0.000    0.000    0.000 _base.py:3276(get_xscale)
        1    0.000    0.000    0.000    0.000 _base.py:3438(yaxis_inverted)
        1    0.000    0.000    0.000    0.000 _base.py:3453(get_ybound)
        1    0.000    0.000    0.000    0.000 _base.py:3469(set_ybound)
        5    0.000    0.000    0.000    0.000 _base.py:3509(get_ylim)
        3    0.000    0.000    0.000    0.000 _base.py:3532(set_ylim)
        5    0.000    0.000    0.000    0.000 _base.py:3666(get_yscale)
        1    0.000    0.000    0.000    0.000 _base.py:3918(set_navigate)
        1    0.000    0.000    0.000    0.000 _base.py:3934(set_navigate_mode)
        1    0.000    0.000    0.000    0.000 _base.py:396(_AxesBase)
        1    0.000    0.000    0.022    0.022 _base.py:417(__init__)
        2    0.000    0.000    0.000    0.000 _base.py:4251(get_children)
